Title,Location,Company,Salary,Sponsored,Description
Mobile Device Tester,"Cambridge, MA",HCL America Inc,None,None,None
Electronics/Cable Assembly Technician,"Newton, MA 02458 (Nonantum area)",Vector Controls Inc,None,None,None
Entry Level QA / Manual Tester / Remote,"Boston, MA",Qabasa Inc.,None,None,None
SAS tester,"Cambridge, MA",Lotus InfoTech,$50 - $55 an hour,None,None
QA Tester- Entry Level/Jr,"Boston, MA",Syntricate Technologies,"$55,000 - $65,000 a year",None,None
Urgent Hiring for User Experience Tester,"Boston, MA",JD Softtech,None,None,None
User Acceptance Tester,"Boston, MA 02109 (Central area)",Public Consulting Group,None,None,None
Entry level QA/ tester,"Boston, MA",Syntricate Technologies,"$55,000 - $60,000 a year",None,None
Quality Assurance Tester - Project Based (Temp) Position,"Boston, MA 02109 (Downtown area)","Harmonix Music Systems, Inc.",None,None,None
Entry Level Quality Assurance (Willing to relocate),"Boston, MA",Logical Paradigm,$25 - $27 an hour,None,None
Entry Level QA Analyst/ Software Tester,"Boston, MA 02108 (Downtown area)",Syntricate Technologies,"$55,000 - $65,000 a year",None,None
QA Tester/ Analyst/BA- Entry Level,"Woburn, MA 01801",Syntricate Technologies,"$55,000 - $65,000 a year",None,None
